year,label,value
1995,Schweiz,6.1856
1995,Deutschland,11.5716
1995,Frankreich,6.8776
1995,Italien,7.8941
1995,Österreich,8.0357
1996,Schweiz,6.2452
1996,Deutschland,11.7919
1996,Frankreich,7.1144
1996,Italien,7.7680
1996,Österreich,8.4404
1997,Schweiz,6.0683
1997,Deutschland,11.4399
1997,Frankreich,6.9678
1997,Italien,7.8599
1997,Österreich,8.3971
1998,Schweiz,6.2701
1998,Deutschland,11.3425
1998,Frankreich,7.2803
1998,Italien,8.0527
1998,Österreich,8.3390
1999,Schweiz,6.2257
1999,Deutschland,11.0072
1999,Frankreich,7.1764
1999,Italien,8.1252
1999,Österreich,8.1506
2000,Schweiz,6.0849
2000,Deutschland,11.0564
2000,Frankreich,7.0570
2000,Italien,8.2167
2000,Österreich,8.2116
2001,Schweiz,6.2582
2001,Deutschland,11.2524
2001,Frankreich,7.1086
2001,Italien,8.2809
2001,Österreich,8.6927
2002,Schweiz,5.9993
2002,Deutschland,11.0395
2002,Frankreich,6.9891
2002,Italien,8.2646
2002,Österreich,8.8693
2003,Schweiz,6.1224
2003,Deutschland,11.0418
2003,Frankreich,7.0686
2003,Italien,8.4524
2003,Österreich,9.5114
2004,Schweiz,6.1558
2004,Deutschland,10.8669
2004,Frankreich,7.0447
2004,Italien,8.4713
2004,Österreich,9.4991
2005,Schweiz,6.1779
2005,Deutschland,10.6185
2005,Frankreich,7.0654
2005,Italien,8.4211
2005,Österreich,9.6160
2006,Schweiz,6.0638
2006,Deutschland,10.7768
2006,Frankreich,6.8531
2006,Italien,8.2896
2006,Österreich,9.2566
2007,Schweiz,5.7352
2007,Deutschland,10.4752
2007,Frankreich,6.6638
2007,Italien,8.1009
2007,Österreich,8.9069
2008,Schweiz,5.8470
2008,Deutschland,10.5314
2008,Frankreich,6.5264
2008,Italien,7.8663
2008,Österreich,8.8513
2009,Schweiz,5.6258
2009,Deutschland,9.7568
2009,Frankreich,6.1726
2009,Italien,6.9738
2009,Österreich,8.0625
2010,Schweiz,5.7514
2010,Deutschland,10.3058
2010,Frankreich,6.3132
2010,Italien,7.1133
2010,Österreich,8.6068
2011,Schweiz,5.1674
2011,Deutschland,10.0181
2011,Frankreich,5.8852
2011,Italien,6.9182
2011,Österreich,8.2880
2012,Schweiz,5.2605
2012,Deutschland,10.0559
2012,Frankreich,5.8786
2012,Italien,6.5623
2012,Österreich,7.9438
2013,Schweiz,5.3099
2013,Deutschland,10.2460
2013,Frankreich,5.8551
2013,Italien,6.0904
2013,Österreich,7.9276
2014,Schweiz,4.7679
2014,Deutschland,9.7391
2014,Frankreich,5.3524
2014,Italien,5.8483
2014,Österreich,7.4426
2015,Schweiz,4.6562
2015,Deutschland,9.7552
2015,Frankreich,5.4015
2015,Italien,5.9741
2015,Österreich,7.6860
2016,Schweiz,4.6663
2016,Deutschland,9.7877
2016,Frankreich,5.4095
2016,Italien,5.8947
2016,Österreich,7.7366
2017,Schweiz,4.7279
2017,Deutschland,9.7349
2017,Frankreich,5.4833
2017,Italien,5.9881
2017,Österreich,8.0067
