year,label,value
1996,China,3408.3466
1996,USA,5626.1867
1996,EU28,4325.0739
1996,Andere,10163.3719
1997,China,3414.5493
1997,USA,5703.8907
1997,EU28,4235.9323
1997,Andere,10560.9571
1998,China,3265.9026
1998,USA,5752.3242
1998,EU28,4228.9864
1998,Andere,10737.7707
1999,China,3258.1349
1999,USA,5832.2502
1999,EU28,4164.1472
1999,Andere,10676.0292
2000,China,3349.2948
2000,USA,6000.6061
2000,EU28,4187.3341
2000,Andere,11021.4561
2001,China,3426.1441
2001,USA,5902.4550
2001,EU28,4259.4002
2001,Andere,11550.0004
2002,China,3782.4393
2002,USA,5943.6513
2002,EU28,4235.8145
2002,Andere,11532.2855
2003,China,4452.3103
2003,USA,5991.3196
2003,EU28,4327.7817
2003,Andere,12095.3268
2004,China,5125.8944
2004,USA,6106.6207
2004,EU28,4337.9729
2004,Andere,12617.1109
2005,China,5771.1684
2005,USA,6132.0057
2005,EU28,4314.6397
2005,Andere,13037.0926
2006,China,6377.7480
2006,USA,6052.2363
2006,EU28,4320.4097
2006,Andere,13536.4424
2007,China,6861.7507
2007,USA,6130.9836
2007,EU28,4274.4088
2007,Andere,13613.0022
2008,China,7375.1899
2008,USA,5932.7753
2008,EU28,4173.8625
2008,Andere,14393.9281
2009,China,7758.8118
2009,USA,5495.3950
2009,EU28,3831.8294
2009,Andere,14437.1068
2010,China,8500.5427
2010,USA,5701.0758
2010,EU28,3951.2626
2010,Andere,14913.7701
2011,China,9388.1992
2011,USA,5570.7066
2011,EU28,3805.9612
2011,Andere,15592.4989
2012,China,9633.8993
2012,USA,5366.7303
2012,EU28,3747.2409
2012,Andere,16171.4182
2013,China,9796.5272
2013,USA,5519.6126
2013,EU28,3659.2409
2013,Andere,16232.5053
2014,China,9820.3605
2014,USA,5568.7593
2014,EU28,3490.3832
2014,Andere,16626.3240
2015,China,9716.4678
2015,USA,5420.8041
2015,EU28,3523.4918
2015,Andere,16801.9830
2016,China,9704.4794
2016,USA,5310.8614
2016,EU28,3503.0312
2016,Andere,17156.7274
2017,China,9838.7540
2017,USA,5269.5295
2017,EU28,3543.6835
2017,Andere,17501.2946
